topic,method,samples,ratio_mean,ratio_std,ratio_p_value,time_mean_usec,time_std_usec,time_p_value,decompress_mean_usec,decompress_std_usec,decompress_p_value,uncompressed_MB_mean,compressed_MB_mean
/ouster/points_decim_1,ZSTD only,2409,0.679349,0.0538081,1.00936e-22,7741.51,3525.26,1.65816e-47,2610.6,839.726,1.86533e-31,1.8125,1.23132
/ouster/points_decim_1,LZ4 only,2409,0.860898,0.0510436,3.65235e-41,6000.24,4346.3,4.25003e-76,879.256,625.853,3.94476e-78,1.8125,1.56038
/ouster/points_decim_1,Cloudini 0p0001,2409,0.5383,0.00888386,0,2582.64,175.906,0,2841.56,172.147,0,1.8125,0.975669
/ouster/points_decim_1,Cloudini 0p001,2409,0.482219,0.00794738,1.01417e-75,2567.64,165.875,0,2868.99,188.401,0,1.8125,0.874023
/ouster/points_decim_1,Cloudini 0p01,2409,0.443726,0.00498176,0,2190.02,206.278,0,2592.72,247.64,0,1.8125,0.804254
/ouster/points_decim_1,Cloudini 0p1,2409,0.422652,0.00426045,0,2229.15,117.17,0,2598.45,135.203,0,1.8125,0.766056
/ouster/points_decim_1,Cloudini 0p2,2409,0.415712,0.00407377,0,2233,177.956,0,2589.78,151.592,0,1.8125,0.753479
/ouster/points_decim_1,Cloudini 0p5,2409,0.406824,0.00372861,0,2123.26,189.188,0,2518.91,160.952,0,1.8125,0.737369
/ouster/points_decim_1,Cloudini-LZ4 0p0001,2409,0.51477,0.0191678,0,3949.66,966.1,2.48223e-68,3754.7,715.914,2.25595e-29,1.8125,0.933021
/ouster/points_decim_1,Cloudini-ZSTD 0p0001,2409,0.453492,0.0195,1.21525e-231,3961.66,491.819,1.75589e-26,4069.38,397.541,0,1.8125,0.821954
/ouster/points_decim_1,Cloudini-ZSTD 0p001,2409,0.399588,0.0153749,0,3279.53,183.179,0,3692.24,143.867,0,1.8125,0.724253
/ouster/points_decim_1,Cloudini-ZSTD 0p01,2409,0.350783,0.0118072,0,2906.48,234.55,0,3332.4,182.31,0,1.8125,0.635794
/ouster/points_decim_1,Cloudini-ZSTD 0p1,2409,0.311598,0.00992118,0,2908.89,207.724,0,3290.54,185.931,0,1.8125,0.564772
/ouster/points_decim_1,Cloudini-ZSTD 0p2,2409,0.302577,0.00934591,0,2937.39,186.202,0,3270.91,145.009,0,1.8125,0.548421
